ts,endpoint,run,ok,tcp_connect_ms,tls_handshake_ms,tls_version,cipher,alpn,cert_cn,error
2026-06-05T13:01:04.002874+00:00,api.rev.ai,0,True,147.857,297.75,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,h2,*.api.rev.ai,
2026-06-05T13:01:04.526715+00:00,api.rev.ai,1,True,157.603,308.254,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,h2,*.api.rev.ai,
2026-06-05T13:01:04.957782+00:00,api.rev.ai,2,True,149.63,290.805,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,h2,*.api.rev.ai,
2026-06-05T13:01:05.478472+00:00,api.rev.ai,3,True,148.86,297.575,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,h2,*.api.rev.ai,
2026-06-05T13:01:05.903143+00:00,api.rev.ai,4,True,140.794,287.33,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,h2,*.api.rev.ai,
2026-06-05T13:01:06.394039+00:00,italynorth.stt.speech.microsoft.com,0,True,12.629,16.537,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,*.speech.microsoft.com,
2026-06-05T13:01:06.957221+00:00,italynorth.stt.speech.microsoft.com,1,True,22.954,22.954,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,*.speech.microsoft.com,
2026-06-05T13:01:07.469475+00:00,italynorth.stt.speech.microsoft.com,2,True,24.24,24.24,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,*.speech.microsoft.com,
2026-06-05T13:01:08.015619+00:00,italynorth.stt.speech.microsoft.com,3,True,12.219,15.052,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,*.speech.microsoft.com,
2026-06-05T13:01:08.587848+00:00,italynorth.stt.speech.microsoft.com,4,True,24.185,24.185,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,*.speech.microsoft.com,
2026-06-05T13:01:08.991264+00:00,api.openai.com,0,True,2.89,6.145,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.openai.com,
2026-06-05T13:01:09.527157+00:00,api.openai.com,1,True,3.642,6.514,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.openai.com,
2026-06-05T13:01:10.001423+00:00,api.openai.com,2,True,1.968,5.473,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.openai.com,
2026-06-05T13:01:10.536258+00:00,api.openai.com,3,True,2.022,5.31,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.openai.com,
2026-06-05T13:01:10.992195+00:00,api.openai.com,4,True,3.776,6.719,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.openai.com,
2026-06-05T13:01:11.483257+00:00,api.groq.com,0,True,1.678,7.726,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.groq.com,
2026-06-05T13:01:11.891728+00:00,api.groq.com,1,True,2.179,7.289,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.groq.com,
2026-06-05T13:01:12.474254+00:00,api.groq.com,2,True,2.012,6.607,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.groq.com,
2026-06-05T13:01:13.024222+00:00,api.groq.com,3,True,1.97,6.328,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.groq.com,
2026-06-05T13:01:13.466063+00:00,api.groq.com,4,True,3.98,6.342,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.groq.com,
2026-06-05T13:01:14.038956+00:00,api.mistral.ai,0,True,1.895,6.054,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.mistral.ai,
2026-06-05T13:01:14.576500+00:00,api.mistral.ai,1,True,2.02,6.957,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.mistral.ai,
2026-06-05T13:01:15.069303+00:00,api.mistral.ai,2,True,1.416,6.466,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.mistral.ai,
2026-06-05T13:01:15.606239+00:00,api.mistral.ai,3,True,1.561,6.278,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.mistral.ai,
2026-06-05T13:01:16.129200+00:00,api.mistral.ai,4,True,1.393,6.438,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.mistral.ai,
2026-06-05T13:01:16.694334+00:00,italynorth.tts.speech.microsoft.com,0,True,14.091,17.94,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,*.tts-frontend.speech.microsoft.com,
2026-06-05T13:01:17.202915+00:00,italynorth.tts.speech.microsoft.com,1,True,16.887,16.887,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,*.tts-frontend.speech.microsoft.com,
