ts,date,hour,endpoint,anycast_likely,ttl,primary_ip,ip_count
2026-06-03 12:01:36.265889+00:00,2026-06-03,12,api.deepgram.com,True,10,38.104.135.212,2
2026-06-03 12:01:43.258084+00:00,2026-06-03,12,api.openai.com,False,24,172.66.0.243,2
2026-06-03 12:01:49.984822+00:00,2026-06-03,12,italynorth.tts.speech.microsoft.com,False,10,4.232.100.221,1
2026-06-03 18:01:03.432889+00:00,2026-06-03,18,api.deepgram.com,True,10,216.200.21.202,3
2026-06-03 18:01:05.002172+00:00,2026-06-03,18,api.rev.ai,False,60,54.71.42.79,3
2026-06-03 18:01:13.000655+00:00,2026-06-03,18,italynorth.stt.speech.microsoft.com,False,10,4.232.100.212,1
2026-06-03 18:01:19.631903+00:00,2026-06-03,18,api.openai.com,False,9,162.159.140.245,2
2026-06-03 18:01:21.776156+00:00,2026-06-03,18,api.groq.com,False,275,172.64.149.20,2
2026-06-03 18:01:25.619213+00:00,2026-06-03,18,api.mistral.ai,False,265,162.159.142.207,2
2026-06-03 18:01:33.831238+00:00,2026-06-03,18,api.deepgram.com,True,10,38.104.135.212,2
2026-06-03 18:01:40.345676+00:00,2026-06-03,18,api.openai.com,False,9,172.66.0.243,2
2026-06-03 18:01:44.424634+00:00,2026-06-03,18,italynorth.tts.speech.microsoft.com,False,10,4.232.100.221,1
2026-06-04 00:01:02.940536+00:00,2026-06-04,0,api.deepgram.com,True,10,216.200.21.204,3
2026-06-04 00:01:08.630789+00:00,2026-06-04,0,api.rev.ai,False,60,35.167.255.151,3
2026-06-04 00:01:15.282794+00:00,2026-06-04,0,italynorth.stt.speech.microsoft.com,False,10,4.232.100.212,1
2026-06-04 00:01:22.868712+00:00,2026-06-04,0,api.openai.com,False,54,162.159.140.245,2
2026-06-04 00:01:25.957061+00:00,2026-06-04,0,api.groq.com,False,246,104.18.38.236,2
2026-06-04 00:01:27.242582+00:00,2026-06-04,0,api.mistral.ai,False,82,172.66.2.203,2
2026-06-04 00:01:30.433001+00:00,2026-06-04,0,api.deepgram.com,True,10,208.184.56.200,2
2026-06-04 00:01:36.550420+00:00,2026-06-04,0,api.openai.com,False,34,162.159.140.245,2
2026-06-04 00:01:43.476053+00:00,2026-06-04,0,italynorth.tts.speech.microsoft.com,False,10,4.232.100.221,1
2026-06-04 05:31:03.846584+00:00,2026-06-04,5,api.deepgram.com,True,10,216.200.21.204,2
2026-06-04 05:31:11.913166+00:00,2026-06-04,5,api.rev.ai,False,60,54.201.77.26,3
2026-06-04 05:31:32.219525+00:00,2026-06-04,5,italynorth.stt.speech.microsoft.com,False,10,4.232.100.212,1
2026-06-04 05:32:01.922175+00:00,2026-06-04,5,api.openai.com,False,4,172.66.0.243,2
2026-06-04 05:32:21.587365+00:00,2026-06-04,5,api.groq.com,False,233,104.18.38.236,2
2026-06-04 05:32:32.728133+00:00,2026-06-04,5,api.mistral.ai,False,290,162.159.142.207,2
2026-06-04 05:32:53.489785+00:00,2026-06-04,5,api.deepgram.com,True,10,38.104.135.212,3
2026-06-04 05:33:07.748222+00:00,2026-06-04,5,api.openai.com,False,34,162.159.140.245,2
2026-06-04 05:33:25.584255+00:00,2026-06-04,5,italynorth.tts.speech.microsoft.com,False,10,4.232.100.221,1
2026-06-04 06:01:02.325310+00:00,2026-06-04,6,api.deepgram.com,True,10,38.104.135.212,3
2026-06-04 06:01:08.910758+00:00,2026-06-04,6,api.rev.ai,False,60,44.255.232.246,3
2026-06-04 06:01:09.853279+00:00,2026-06-04,6,italynorth.stt.speech.microsoft.com,False,10,4.232.100.212,1
2026-06-04 06:01:13.812420+00:00,2026-06-04,6,api.openai.com,False,2,172.66.0.243,2
2026-06-04 06:01:17.026582+00:00,2026-06-04,6,api.groq.com,False,300,172.64.149.20,2
2026-06-04 06:01:23.335718+00:00,2026-06-04,6,api.mistral.ai,False,88,172.66.2.203,2
2026-06-04 06:01:28.319795+00:00,2026-06-04,6,api.deepgram.com,True,10,38.104.135.212,3
2026-06-04 06:01:37.124286+00:00,2026-06-04,6,api.openai.com,False,42,162.159.140.245,2
2026-06-04 06:01:41.125232+00:00,2026-06-04,6,italynorth.tts.speech.microsoft.com,False,10,4.232.100.221,1
2026-06-04 12:01:04.315900+00:00,2026-06-04,12,api.deepgram.com,True,10,216.200.21.204,2
2026-06-04 12:01:08.651675+00:00,2026-06-04,12,api.rev.ai,False,60,54.201.77.26,3
2026-06-04 12:01:11.990283+00:00,2026-06-04,12,italynorth.stt.speech.microsoft.com,False,10,4.232.100.212,1
2026-06-04 12:01:14.427519+00:00,2026-06-04,12,api.openai.com,False,28,172.66.0.243,2
2026-06-04 12:01:21.792877+00:00,2026-06-04,12,api.groq.com,False,281,172.64.149.20,2
2026-06-04 12:01:24.633212+00:00,2026-06-04,12,api.mistral.ai,False,300,162.159.142.207,2
2026-06-04 12:01:31.951489+00:00,2026-06-04,12,api.deepgram.com,True,10,66.103.225.60,3
2026-06-04 12:01:38.836561+00:00,2026-06-04,12,api.openai.com,False,9,162.159.140.245,2
2026-06-04 12:01:40.867621+00:00,2026-06-04,12,italynorth.tts.speech.microsoft.com,False,10,4.232.100.221,1
2026-06-04 18:01:02.493412+00:00,2026-06-04,18,api.deepgram.com,True,10,66.103.225.58,3
2026-06-04 18:01:04.024565+00:00,2026-06-04,18,api.rev.ai,False,60,44.255.232.246,3
2026-06-04 18:01:07.937260+00:00,2026-06-04,18,italynorth.stt.speech.microsoft.com,False,10,4.232.100.212,1
2026-06-04 18:01:10.667875+00:00,2026-06-04,18,api.openai.com,False,44,162.159.140.245,2
2026-06-04 18:01:15.268939+00:00,2026-06-04,18,api.groq.com,False,300,104.18.38.236,2
2026-06-04 18:01:22.403726+00:00,2026-06-04,18,api.mistral.ai,False,228,172.66.2.203,2
2026-06-04 18:01:31.330071+00:00,2026-06-04,18,api.deepgram.com,True,10,38.104.135.212,3
2026-06-04 18:01:35.033907+00:00,2026-06-04,18,api.openai.com,False,42,162.159.140.245,2
2026-06-04 18:01:38.330778+00:00,2026-06-04,18,italynorth.tts.speech.microsoft.com,False,10,4.232.100.221,1
2026-06-05 00:01:03.679284+00:00,2026-06-05,0,api.deepgram.com,True,10,66.103.225.60,3
2026-06-05 00:01:09.584652+00:00,2026-06-05,0,api.rev.ai,False,60,54.69.164.121,3
2026-06-05 00:01:18.162606+00:00,2026-06-05,0,italynorth.stt.speech.microsoft.com,False,10,4.232.100.212,1
2026-06-05 00:01:23.380518+00:00,2026-06-05,0,api.openai.com,False,49,162.159.140.245,2
2026-06-05 00:01:30.984945+00:00,2026-06-05,0,api.groq.com,False,21,104.18.38.236,2
2026-06-05 00:01:38.473611+00:00,2026-06-05,0,api.mistral.ai,False,290,162.159.142.207,2
